oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
ch;387518;ch;2722940;ELMA Electronic
ch;1160870;ch;2722947;SWISS PRIME SITE
hk;1366053;hk;56787;AIA Group
mx;1195988;mx;879292;Rassini
fr;823091707;fr;2819534;Lippi
us_wa;602014545;us_de;2271453;Onvia
us_ct;0265606;us_de;2271491;Hexcel Corporation
us_nc;1352524;us_de;2241786;Maidenform
us_ca;C2012057;us_ca;870607;Ixia
es;28601094;es;5301;Inditex
be;0453337715;be;2602238;Amway
fr;800256232;fr;56368;Allianz
hk;0222797;hk;2632983;MMG Limited
gb;00653331;gb;49470;Experian
gb;00927680;gb;2722926;Speedy Hire plc
nl;33148422;nl;2153177;KLM
nl;08139679;nl;47554;EADS
nl;24379935;nl;40549;SABMiller plc
ro;10957340;ro;975194;Ursus Breweries
es;83194118;es;2631098;Aena
sg;197000498M;sg;2631058;CWT
ca;6590373;ca;60754;The Green Beaver Company
ca_ns;3199352;ca_ns;52451;Cosmic Tree Essentials
us_vt;0096652;us_vt;61086;Seventh Generation *
in;U74900PN2013PTC149444;in;55685;Trumount Cosmoceuticals
gb;OC384974;gb;59554;Conscious Skincare
au;131072038;au;60534;Rose-Hip Vital Pty Ltd
gb;09568642;gb;59778;Faith Products, Ltd.
au;614870969;au;60770;The Little Alchemist
gb;07658671;gb;60402;PHB Ethical Beauty
au;142660919;au;60562;Savoir Faire Cosmetics
au;112073480;au;61023;Metcash
us_ny;1731633;us_de;51486;Hain Celestial
nl;28092251;nl;49306;Randstad Holding
se;757201-8948;se;47511;Skandinaviska Enskilda Banken
ch;892673;ch;48779;Kuehne + Nagel
fr;479811085;fr;911807;Constellium
za;1936-008963-06;za;799312;Sappi
pl;0000008723;pl;965747;Bank Zachodni WBK
gb;08534721;gb;968827;Premier Oil
za;1963-001333-06;za;788833;Distell
th;0107537002559;th;58026;Delta Electronics
mx;2240616;mx;965792;Credito Real
gb;01350140;gb;828781;Lonmin
