company,wikirate_company,status,accept_status,aliases
Banco Popular Espanol,,none,,"banco popular espanol,bancopopular"
Delphi Automotive,,none,,"Delphi Automotive PLC,Delphi Automotive Systems, LLC,Delphi"
Spectra Energy,,none,,"spectra energy,spectra energy corp.,spectra energy corp,spectraenergy"
Abertis,,none,,
Hyundai Heavy Industries,,none,,"hyundai heavy industries,hhi"
ThyssenKrupp Group,,none,,"thyssenkrupp group,thyssenkrupp"
Adecco,,none,,
Seadrill,,none,,
Celgene,,none,,
MTR,,none,,
Country Garden Holdings,,none,,"country garden holdings,countrygarden,Country Garden"
British Sky Broadcasting,,none,,"british sky broadcasting,sky"
Mitsubishi Motors,,none,,"mitsubishi motors,mitsubishi-motors"
JBS,,none,,
National Bank of Abu Dhabi,,none,,"national bank of abu dhabi,nbad"
Dollar General,,none,,"dollar general,dollargeneral"
Sandvik,,none,,
China National Building,,none,,"china national building,cnbmltd"
Genworth Financial,,none,,"genworth financial,genworth"
Annaly Capital Management,,none,,"annaly capital management,annaly"
Halkbank,,none,,
Bouygues,,none,,
Bank Central Asia,,none,,"bank central asia,klikbca"
Asahi Group Holdings,,none,,"asahi group holdings,asahibeer"
MegaFon,,none,,
CenturyLink,,none,,
Insurance Australia Group,,none,,"insurance australia group,iag"
Steinhoff International,,none,,"steinhoff international,steinhoffinternational"
AmerisourceBergen,,none,,
Atlantia,,none,,
Industrial Bank of Korea,,none,,"industrial bank of korea,kiupbank"
First Gulf Bank,,none,,"first gulf bank,firstgulfbank"
Northeast Utilities,Taiwan Semiconductor Manufacturing,partial,0,"northeast utilities,nu"
Seagate Technology,,none,,"seagate technology,seagate technology plc,seagate,Seagate,Seagate Australia"
VimpelCom,,none,,
CR Bard,,none,,"cr bard,crbard,C.R. Bard, Inc."
China Cinda Asset Management,,none,,"china cinda asset management,cinda"
Banco de Sabadell,,none,,"banco de sabadell,bancsabadell,Banco Sabadell"
Sanlam,,none,,
Liberty Interactive,,none,,"liberty interactive,libertyinteractive"
CSR,,none,,"csr,csrgc"
Scor,,none,,
Technip,,none,,
Nucor,,none,,Nucor Corp.
Hilton Worldwide Holdings,,none,,"hilton worldwide holdings,hilton worldwide,hiltonworldwide"
China Coal Energy,,none,,"china coal energy,chinacoalenergy"
Midea Group Co. Ltd.,,none,,"midea group co. ltd.,midea"
DaVita,,none,,
Kansai Electric Power,,none,,"kansai electric power,kepco,Kansai Electric Power (KEPCO)"
Deutsche Boerse,,none,,"deutsche boerse,deutsche-boerse"
Veolia Environnement,,none,,"veolia environnement,veoliaenvironnement"
Mobily,,none,,
Marks & Spencer,Marks and Spencers plc,partial,1,"marks & spencer,marks and spencer,marks and spencer p.l.c.,marksandspencer"
Baidu,,none,,
Resolution,,none,,
Northern Trust,,none,,"northern trust,northern trust corporation,the northern trust company,northerntrust"
American Airlines Group,American Apparel,partial,0,"american airlines group,aa,American Airlines,Amer"
Infosys,,none,,
Dentsu,,none,,
Wolseley,,none,,
QBE Insurance Group,,none,,"qbe insurance group,qbe,QBE Insurance"
Mitsubishi Chemical,,none,,"mitsubishi chemical,mitsubishichem-hd"
Solvay,,none,,
Dongfeng Motor Group,,none,,"dongfeng motor group,dfmg,Dongfeng Motor"
Bombardier,,none,,
Galaxy Entertainment,,none,,"galaxy entertainment,kwcml"
Thomson Reuters,,none,,"thomson reuters,thomson reuters tr,thomsonreuters,Reuters (part of Thomson Reuters)"
West Japan Railway,,none,,"west japan railway,westjr"
Canadian Pacific Railway,,none,,"canadian pacific railway,cpr"
Allergan,,none,,
Chinatrust Financial,,none,,"chinatrust financial,chinatrustgroup"
Allied Irish Banks,,none,,"allied irish banks,aibgroup"
Bunge,,none,,
Metallurgical Corp of China,,none,,"metallurgical corp of china,mccchina"
Emirates NBD,,none,,"emirates nbd,emiratesnbd"
Motorola Solutions,,none,,"motorola solutions,motorola,motorola solutions, inc.,motorolasolutions"
Telekom Indonesia,,none,,"telekom indonesia,telkom"
Cognizant Technology,,none,,"cognizant technology,cognizant technology solutions,cognizant"
International Airlines,,none,,"international airlines,iairgroup"
Mercantil Servicios,,none,,"mercantil servicios,bancomercantil"
Murata Manufacturing,,none,,"murata manufacturing,murata"
Cencosud,,none,,
Tyco International,,none,,"tyco international,tyco"
Chubu Electric Power,,none,,"chubu electric power,chuden"
