Designer,Title,Company 1,Company 2,Year,Value,Source
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,ZheJiang GaoSheng (GoodSun) Artificial Leather Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,KOUSH MODA LTD.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Dalian Anne International Co. Ltd,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Jiangyan Youcheng Dyeing & Finishing Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Huzhou Kaier Adornment Co. Ltd.,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,CTA APPARELS PVT LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Wah Shing Hong Ltd.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,WUJIANG TAOYUAN HAIRUN DYEING COLT,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Dongguan Hongjin International Co. Ltd.,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,LE-SHARK GLOBAL LLP,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,M&V MACAO COMMERCIAL OFFSHORE LTD,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Jiangyin Chaoyu Knitting Co. Ltd.,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Shantou Huayin Textile Printing & Dyeing Co. Ltd.,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Yangzhou Happy & Auspicious Imp. & Exp.Co.Ltd,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Changzhou Tianli finishing mill,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Inner Mongolia Erdos Resources Co. Ltd,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Changzhou XinHao Printing & Dyeing Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,ARVIND LIFESTYLE APPAREL MANUFACTURING PLC,2017,Tier 1 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,changzhou fushite printing&dyeing co.ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Shaoxing Xinmeida P&D Fty,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
Clean Clothes Campaign,is Supplied By,H & M Hennes & Mauritz AB,Shaoguan Shunchang Weaving Factory Co. Ltd,2017,Tier 2 Supplier,http://sustainability.hm.com/en/sustainability/downloads-resources/resources/supplier-list.html,
