metric,company_name,year,value,source
EICC+EICC member,Fairchild Semiconductor,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Foxconn,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Genband,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Global Advanced Metals Pty Ltd,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,HGST,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,HTC Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,International Rectifier Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Isola Group,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,KYE Systems Corp.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Logitech Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Longwell Company,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Marvell,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,ModusLink,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Molex,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Motorola Mobility,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,NETGEAR,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,New Kinpo Group,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,ON Semiconductor,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Pace Plc,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,PCH International,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Plexus,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Qorvo,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,quanta computer inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,SanDisk Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"Sierra Wireless, Inc.",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Skyworks,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,SMART Modular Technologies,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Spansion,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Syncreon,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Synopsys,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"Taiwan Chinsan Electronics<br />Industrial Co., Ltd.",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Technicolor,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,TomTom International BV,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,TT Electronics Plc,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,XP Power,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,taiwan semiconductor manufacturing,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,SK Hynix Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,ASML Holding,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Pegatron Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Compal Electronics Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Konica Minolta Inc.,2015,true,http://www.eiccoalition.org/about/members/
Fair Labor Association+Fair Labor Participant,H&M,2015,true,http://www.fairlabor.org/affiliate/hm-hennes-mauritz-ab
EICC+EICC member,Adobe Systems,2015,true,http://www.eiccoalition.org/about/members/
Fair Labor Association+Fair Labor Participant,Hanesbrands,2015,true,http://www.fairlabor.org/affiliate/hanesbrands
Fair Labor Association+Fair Labor Participant,Nestle,2015,true,http://www.fairlabor.org/affiliate/nestle
Fair Labor Association+Fair Labor Participant,PVH,2015,true,http://www.fairlabor.org/affiliate/pvh-corp
EICC+EICC member,"Freescale Semiconductor, Inc.",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Sony Corporation,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,"Advanced Micro Devices, Inc. (AMD)",2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Acer Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Dell Inc.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Garmin,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,Lenovo Group Ltd.,2015,true,http://www.eiccoalition.org/about/members/
EICC+EICC member,NVIDIA,2015,true,http://www.eiccoalition.org/about/members/
