snippet_company,source_url,company_from_source_url,remark
Noble Group,https://www.unglobalcompact.org/COPs/active/24531,Noble Group Limited,
Nokia,https://www.unglobalcompact.org/COPs/active/17299,Nokia Corporation,
Nokia,https://www.unglobalcompact.org/COPs/active/12545,Nokia Corporation,
Nokia,https://www.unglobalcompact.org/COPs/active/126151,Nokia Corporation,
Nokia,https://www.unglobalcompact.org/COPs/learner/10721,Nokia Corporation,
Nokia,https://www.unglobalcompact.org/COPs/active/77991,Nokia Corporation,
Nokia,https://www.unglobalcompact.org/COPs/active/76251,Nokia Corporation,
Nokia,https://www.unglobalcompact.org/COPs/active/57741,Nokia Corporation,
Nokia,https://www.unglobalcompact.org/COPs/learner/11737,Nokia Corporation,
Nokia,https://www.unglobalcompact.org/COPs/active/22441,Nokia Corporation,
Nordea Bank,https://www.unglobalcompact.org/COPs/active/18020,Nordea Bank AB,
Nordea Bank,https://www.unglobalcompact.org/COPs/active/13365,Nordea Bank AB,
Nordea Bank,https://www.unglobalcompact.org/COPs/active/85791,Nordea Bank AB,
Nordea Bank,https://www.unglobalcompact.org/COPs/active/29391,Nordea Bank AB,
Norsk Hydro,https://www.unglobalcompact.org/COPs/advanced/11075,Norsk Hydro ASA,
Norsk Hydro,https://www.unglobalcompact.org/COPs/advanced/134591,Norsk Hydro ASA,
Norsk Hydro,https://www.unglobalcompact.org/COPs/advanced/15627,Norsk Hydro ASA,
Norsk Hydro,https://www.unglobalcompact.org/COPs/advanced/21425,Norsk Hydro ASA,
Norsk Hydro,https://www.unglobalcompact.org/COPs/advanced/65361,Norsk Hydro ASA,
Novo Nordisk,https://www.unglobalcompact.org/COPs/advanced/10839,Novo Nordisk AS,
Novo Nordisk,https://www.unglobalcompact.org/COPs/advanced/126821,Novo Nordisk AS,
Novo Nordisk,https://www.unglobalcompact.org/COPs/advanced/15159,Novo Nordisk AS,
Novo Nordisk,https://www.unglobalcompact.org/COPs/advanced/20790,Novo Nordisk AS,
Novo Nordisk,https://www.unglobalcompact.org/COPs/advanced/58441,Novo Nordisk AS,
Novozymes,https://www.unglobalcompact.org/COPs/active/15795,Novozymes (China) Investment Co. Ltd.,
Novozymes,https://www.unglobalcompact.org/COPs/advanced/10733,Novozymes,
Novozymes,https://www.unglobalcompact.org/COPs/advanced/143351,Novozymes,
Novozymes,https://www.unglobalcompact.org/COPs/advanced/15109,Novozymes,
Novozymes,https://www.unglobalcompact.org/COPs/advanced/20566,Novozymes,
Novozymes,https://www.unglobalcompact.org/COPs/advanced/57711,Novozymes,
OHL Group,https://www.unglobalcompact.org/COPs/active/18459,Grupo OHL,
OHL Group,https://www.unglobalcompact.org/COPs/advanced/106001,Grupo OHL,
OHL Group,https://www.unglobalcompact.org/COPs/advanced/13345,Grupo OHL,
OHL Group,https://www.unglobalcompact.org/COPs/advanced/38761,Grupo OHL,
Oil & Natural Gas,https://www.unglobalcompact.org/COPs/active/16415,Oil and Natural Gas Corporation,
Oil & Natural Gas,https://www.unglobalcompact.org/COPs/active/151481,Oil and Natural Gas Corporation,
Oil & Natural Gas,https://www.unglobalcompact.org/COPs/active/11356,Oil and Natural Gas Corporation,
Oil & Natural Gas,https://www.unglobalcompact.org/COPs/active/32351,Oil and Natural Gas Corporation,
Old Mutual,https://www.unglobalcompact.org/COPs/active/18098,Old Mutual plc,
Old Mutual,https://www.unglobalcompact.org/COPs/active/15116,Old Mutual South Africa,
Old Mutual,https://www.unglobalcompact.org/COPs/active/10701,Old Mutual South Africa,
Old Mutual,https://www.unglobalcompact.org/COPs/active/12213,Old Mutual plc,
Old Mutual,https://www.unglobalcompact.org/COPs/active/83501,Old Mutual plc,
Old Mutual,https://www.unglobalcompact.org/COPs/active/23180,Old Mutual plc,
OMV Group,https://www.unglobalcompact.org/COPs/advanced/11539,OMV Aktiengesellschaft,
OMV Group,https://www.unglobalcompact.org/COPs/advanced/16162,OMV Aktiengesellschaft,
OMV Group,https://www.unglobalcompact.org/COPs/advanced/25651,OMV Aktiengesellschaft,
OMV Group,https://www.unglobalcompact.org/COPs/advanced/90061,OMV Aktiengesellschaft,
Orange,https://www.unglobalcompact.org/COPs/active/17131,Orange,
Orange,https://www.unglobalcompact.org/COPs/active/12363,Orange,
Orange,https://www.unglobalcompact.org/COPs/active/84351,Orange,
Orange,https://www.unglobalcompact.org/COPs/active/23143,Orange,
Osaka Gas,https://www.unglobalcompact.org/COPs/advanced/11694,"Osaka Gas Co., Ltd.",
Osaka Gas,https://www.unglobalcompact.org/COPs/advanced/145211,"Osaka Gas Co., Ltd.",
Osaka Gas,https://www.unglobalcompact.org/COPs/advanced/16338,"Osaka Gas Co., Ltd.",
Osaka Gas,https://www.unglobalcompact.org/COPs/advanced/22240,"Osaka Gas Co., Ltd.",
Osaka Gas,https://www.unglobalcompact.org/COPs/advanced/74551,"Osaka Gas Co., Ltd.",
Pacific Rubiales Energy,https://www.unglobalcompact.org/COPs/learner/74431,Pacific Rubiales Energy,
Pacific Rubiales Energy,https://www.unglobalcompact.org/COPs/advanced/145881,Pacific Rubiales Energy,
Pacific Rubiales Energy,https://www.unglobalcompact.org/COPs/advanced/16078,Pacific Rubiales Energy,
Pacific Rubiales Energy,https://www.unglobalcompact.org/COPs/advanced/16303,Pacific Rubiales Energy,
Pacific Rubiales Energy,https://www.unglobalcompact.org/COPs/advanced/22214,Pacific Rubiales Energy,
Pearson,https://www.unglobalcompact.org/COPs/active/16445,Pearson plc.,
Pearson,https://www.unglobalcompact.org/COPs/active/145351,Pearson plc.,
Pearson,https://www.unglobalcompact.org/COPs/active/11769,Pearson plc.,
Pearson,https://www.unglobalcompact.org/COPs/active/74701,Pearson plc.,
Pearson,https://www.unglobalcompact.org/COPs/active/22383,Pearson plc.,
Pernod Ricard,https://www.unglobalcompact.org/COPs/active/15725,Pernod Ricard,
Pernod Ricard,https://www.unglobalcompact.org/COPs/active/11144,Pernod Ricard,
Pernod Ricard,https://www.unglobalcompact.org/COPs/active/107131,Pernod Ricard,
Pernod Ricard,https://www.unglobalcompact.org/COPs/active/39821,Pernod Ricard,
Petrobras,https://www.unglobalcompact.org/COPs/advanced/12536,Petroleo Brasileiro SA - Petrobras,
Petrobras,https://www.unglobalcompact.org/COPs/advanced/17395,Petroleo Brasileiro SA - Petrobras,
Petrobras,https://www.unglobalcompact.org/COPs/advanced/23460,Petroleo Brasileiro SA - Petrobras,
Petrobras,https://www.unglobalcompact.org/COPs/advanced/85961,Petroleo Brasileiro SA - Petrobras,
PGE,https://www.unglobalcompact.org/COPs/active/14576,PGE Polska Grupa Energetyczna S.A.,
PGE,https://www.unglobalcompact.org/COPs/active/77701,PGE Polska Grupa Energetyczna S.A.,
PGE,https://www.unglobalcompact.org/COPs/learner/20077,PGE Polska Grupa Energetyczna S.A.,
PGE,https://www.unglobalcompact.org/COPs/learner/85701,PGE Polska Grupa Energetyczna S.A.,
Pgnig Group,https://www.unglobalcompact.org/COPs/active/16349,Polskie Gornictwo Naftowe i Gazownictwo S.A.,
Pgnig Group,https://www.unglobalcompact.org/COPs/active/11700,Polskie Gornictwo Naftowe i Gazownictwo S.A.,
Pgnig Group,https://www.unglobalcompact.org/COPs/active/79111,Polskie Gornictwo Naftowe i Gazownictwo S.A.,
Pgnig Group,https://www.unglobalcompact.org/COPs/learner/150541,Polskie Gornictwo Naftowe i Gazownictwo S.A.,
Pgnig Group,https://www.unglobalcompact.org/COPs/learner/22278,Polskie Gornictwo Naftowe i Gazownictwo S.A.,
Piraeus Bank,https://www.unglobalcompact.org/COPs/active/17194,Piraeus Bank,
Piraeus Bank,https://www.unglobalcompact.org/COPs/active/11794,Piraeus Bank,
Piraeus Bank,https://www.unglobalcompact.org/COPs/active/94901,Piraeus Bank,
Piraeus Bank,https://www.unglobalcompact.org/COPs/active/30141,Piraeus Bank,
PKN Orlen,https://www.unglobalcompact.org/COPs/active/101291,PKN ORLEN S.A.,
PKN Orlen,https://www.unglobalcompact.org/COPs/active/101291,PKN ORLEN S.A.,
PKN Orlen,https://www.unglobalcompact.org/COPs/active/12681,PKN ORLEN S.A.,
PKN Orlen,https://www.unglobalcompact.org/COPs/active/47311,PKN ORLEN S.A.,
PKN Orlen,https://www.unglobalcompact.org/COPs/learner/20402,PKN ORLEN S.A.,
PKN Orlen,https://www.unglobalcompact.org/COPs/advanced/13213,PKN ORLEN S.A.,
Portugal Telecom,https://www.unglobalcompact.org/COPs/active/150951,PT Portugal,
Portugal Telecom,https://www.unglobalcompact.org/COPs/active/11699,PT Portugal,
Portugal Telecom,https://www.unglobalcompact.org/COPs/active/78001,PT Portugal,
Portugal Telecom,https://www.unglobalcompact.org/COPs/learner/16507,PT Portugal,
Portugal Telecom,https://www.unglobalcompact.org/COPs/learner/16509,PT Portugal,
Portugal Telecom,https://www.unglobalcompact.org/COPs/advanced/22551,PT Portugal,
Power Finance,https://www.unglobalcompact.org/COPs/learner/18283,Power Finance Corporation Ltd.,
Power Finance,https://www.unglobalcompact.org/COPs/learner/13136,Power Finance Corporation Ltd.,
PTT PCL,https://www.unglobalcompact.org/COPs/active/18640,PTT Public Company Limited,
PTT PCL,https://www.unglobalcompact.org/COPs/active/146981,PTT Public Company Limited,
PTT PCL,https://www.unglobalcompact.org/COPs/active/71701,PTT Public Company Limited,
PTT PCL,https://www.unglobalcompact.org/COPs/active/22890,PTT Public Company Limited,
Publicis Groupe,https://www.unglobalcompact.org/COPs/active/18307,Publicis Groupe S.A.,
Publicis Groupe,https://www.unglobalcompact.org/COPs/active/14553,Publicis Groupe S.A.,
Publicis Groupe,https://www.unglobalcompact.org/COPs/active/95821,Publicis Groupe S.A.,
Publicis Groupe,https://www.unglobalcompact.org/COPs/active/31771,Publicis Groupe S.A.,
Qualcomm,https://www.unglobalcompact.org/COPs/active/145431,Qualcomm Incorporated,
Qualcomm,https://www.unglobalcompact.org/COPs/active/75011,Qualcomm Incorporated,
Randstad Holding,https://www.unglobalcompact.org/COPs/active/17862,Randstad,
Randstad Holding,https://www.unglobalcompact.org/COPs/active/92191,Randstad,
Randstad Holding,https://www.unglobalcompact.org/COPs/active/27591,Randstad,
Randstad Holding,https://www.unglobalcompact.org/COPs/learner/12513,Randstad,
Repsol YPF,https://www.unglobalcompact.org/COPs/advanced/100581,Repsol Ecuador SA,2
Repsol YPF,https://www.unglobalcompact.org/COPs/advanced/107111,Repsol,
Repsol YPF,https://www.unglobalcompact.org/COPs/advanced/13498,Repsol Ecuador SA,2
Repsol YPF,https://www.unglobalcompact.org/COPs/advanced/13693,Repsol,
Repsol YPF,https://www.unglobalcompact.org/COPs/advanced/18472,Repsol Ecuador SA,2
Repsol YPF,https://www.unglobalcompact.org/COPs/advanced/19576,Repsol,
Repsol YPF,https://www.unglobalcompact.org/COPs/advanced/34641,Repsol Ecuador SA,2
Repsol YPF,https://www.unglobalcompact.org/COPs/advanced/40051,Repsol,
Resona Holdings,https://www.unglobalcompact.org/COPs/advanced/111141,"Resona Holdings, Inc.",
Resona Holdings,https://www.unglobalcompact.org/COPs/advanced/14338,"Resona Holdings, Inc.",
Resona Holdings,https://www.unglobalcompact.org/COPs/advanced/19788,"Resona Holdings, Inc.",
Resona Holdings,https://www.unglobalcompact.org/COPs/advanced/45471,"Resona Holdings, Inc.",
Richemont,https://www.unglobalcompact.org/COPs/active/89511,Compagnie Financiere Richemont SA,
Rio Tinto,https://www.unglobalcompact.org/COPs/active/12770,Rio Tinto plc,
Rio Tinto,https://www.unglobalcompact.org/COPs/advanced/17709,Rio Tinto plc,
Rio Tinto,https://www.unglobalcompact.org/COPs/advanced/26891,Rio Tinto plc,
