"Fifth Third Bancorp","fifth third bancorp|53|Fifth Third Bank"
"United Continental Holdings","united continental holdings|unitedcontinentalholdings|United Continental"
"Chesapeake Energy","chesapeake energy|chkenergy"
"Paccar",""
"Aon",""
"Hana Financial Group","hana financial group|hanafn"
"Etisalat",""
"Loews",""
"CIMB Group Holdings","cimb group holdings|cimb"
"Tokyo Electric Power","tokyo electric power|tepco|Tokyo Electric Power (TEPCO)"
"TJX Cos","TJX"
"Principal Financial Group","principal financial group|the principal financial group|principal financial|principal"
"Ageas",""
"New China Life Insurance","new china life insurance|newchinalife"
"Rogers Communications","rogers communications|rogers"
"Swiss Life Holding","swiss life holding|swisslife"
"Novatek",""
"Corning",""
"Fujifilm Holdings","fujifilm holdings|fujifilmholdings|FUJIFILM"
"Bank Rakyat Indonesia","bank rakyat indonesia|bri"
"Consolidated Edison","consolidated edison|conedison"
"Akbank","Akbank T.A.S."
"Micron Technology","micron technology|micron technology, inc.|numonyx|Micron"
"Covidien",""
"Saudi Electricity","saudi electricity|se"
"Alstom",""
"National Bank of Canada","national bank of canada|nbc"
"Formosa Petrochemical","formosa petrochemical|fpcc"
"Gree Electric Appliances","gree electric appliances|gree"
"Public Service Enterprise","public service enterprise|pseg|Public Service Enterprise Group|Public Service Enterprise Group (PSEG)"
"RWE Group","RWE"
"Mondelez International",""
"L’Occitane","l’occitane|loccitane|L'Occitane"
"Alyeska Pipeline Service Company","Alyeska Pipeline"
"Autoridad del Canal de Panama",""
"Cementos Progreso","Progreso Division Cemento"
"Concurrent Technologies Corporation",""
"Elbit Systems of America","Elbit Systems"
"Empresa de Desarrollo Urbano",""
"Knights of Columbus",""
"TIAA-CREF",""
"Voya Financial",""
"ENMAX Corporation",""
"ING U.S.",""
"Noblis, Inc.","Noblis"
"Ten Thousand Villages",""
"NYSE Euronext",""
"Office Depot",""
"SRA International",""
"Stonyfield Farm",""
"The Timberland Company","Timberland"
"J.M. Huber Corporation",""
"Zappos",""
"Flint Hills Resources",""
"Johns Hopkins",""
"Pitney Bowes",""
"Aldi Group",""
"Danfoss","Danfoss Group"
"Koch Industries",""
"NTT DOCOMO",""
"Hang Seng Bank",""
"Australia & New Zealand Banking Group",""
"Imperial Oil",""
"Wal-Mart de Mexico","Wal-Mart de Mexico (Walmex)"
"Malayan Banking","Malayan Banking Bhd"
"Hermes International","Hermes"
"Astra International",""
"RN Holding","Thai Oil Public Co Ltd."
"Enterprise Products Partners","Enterprise Products"
"Southern Copper",""
"AMBEV","AmBev "
"AngloGold Ashanti Limited","AngloGold Ashanti"
"BESTSELLER A/S",""
"DONG Energy","DONG Energy A/S"
"Edmond de Rothschild Group",""
"Fromageries Bel","Groupe Bel"
"Metalsa",""
"Mulberry Group",""
"N Brown Group plc",""
"Restoration Hardware, Inc.",""
"Stella & Dot LLC",""
"TUV Rheinland","TUV Rheinland AG"
"Nestlé SA","Nestlé"
"Christian Dior","christian dior|dior-finance"
"Safran","safran|safran-group"
"Precision Castparts","precision castparts|precast"
"Fortescue Metals Group","fortescue metals group|fmgl"
