metric,company_name,year,value,source
"2020WoB+Women on Board","Intuitive Surgical","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","CH Robinson Worldwide","2015","30","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Avalonbay Communities","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Host Hotels & Resorts","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Mead Johnson Nutrition","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Southwestern Energy","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Raymond James Financial","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Health Care REIT","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Zions Bancorp","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","First Financial Holding","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Juniper Networks","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Universal Health","2015","14","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Regeneron Pharmaceuticals","2015","8","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","CNO Financial Group","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Helmerich & Payne","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Avago Technologies","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Rockwell Collins","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Family Dollar Stores","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Protective Life","2015","21","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Mohawk Industries","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Axis Capital Holdings","2015","21","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Wyndham Worldwide","2015","29","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Advance Auto Parts","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Pioneer Natural Resources","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","United Rentals","2015","15","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Caesars Entertainment","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Level 3 Communications","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","E-Trade Financial","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Assured Guaranty","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Interpublic Group","2015","44","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Quanta Services","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Old Republic International","2015","9","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Scripps Networks Interactive","2015","33","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","American Water Works","2015","50","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Tenet Healthcare","2015","30","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Newell Rubbermaid","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Westlake Chemical","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Rockwood Holdings","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Darden Restaurants","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","World Fuel Services","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Chipotle Mexican Grill","2015","13","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Linear Technology","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Avis Budget Group","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Harbinger Group","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Expeditors International","2015","10","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Alexion Pharmaceuticals","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Tractor Supply","2015","22","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Cliffs Natural Resources","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","JB Hunt Transport","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","First Niagara Financial","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Tesla Motors","2015","14","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Affiliated Managers Group","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Hudson City Bancorp","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Kansas City Southern","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Dick's Sporting Goods","2015","11","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Varian Medical Systems","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Monster Beverage","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","East West Bancorp","2015","27","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","SVB Financial Group","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Maxim Integrated Products","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","American Equity Investment","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Polaris Industries","2015","25","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","NASDAQ OMX Group","2015","18","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Interactive Brokers Group","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Cablevision Systems Corporation","2015","24","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Erie Indemnity","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Verisk Analytics","2015","8","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Penske Automotive","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Vertex Pharmaceuticals","2015","20","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Peabody Energy","2015","17","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Whiting Petroleum","2015","0","http://www.2020wob.com/company-directory"
"2020WoB+Women on Board","Denbury Resources","2015","10","http://www.2020wob.com/company-directory"
