id1,name1,id2,name2,left_id,right_id,url1,,Comments
5767248,Banana Republic+Wikipedia,5767245,Banana Republic (part of Gap Inc.)+Wikipedia,5451019,3560,https://wikirate.org/~5767248,https://wikirate.org/~5767245,Name change (Column D old)
5767261,Calvin_Klein_Inc+Wikipedia,5767260,Calvin Klein+Wikipedia,5451021,3560,https://wikirate.org/~5767261,https://wikirate.org/~5767260,
5767262,Calvin_Klein_Inc+Headquarters,5767258,Calvin Klein+Headquarters,5451021,2917776,https://wikirate.org/~5767262,https://wikirate.org/~5767258,
5768649,Sisley+Wikipedia,5768648,Sisley (part of Benetton group)+Wikipedia,5451015,3560,https://wikirate.org/~5768649,https://wikirate.org/~5768648,
5772747,EAFIT Research Group Fall 2020 - Maria Clara Salazar+Organizer,5772744,EAFIT Research Group Spring 2020 - Maria Clara Salazar+Organizer,5772742,40288,https://wikirate.org/~5772747,https://wikirate.org/~5772744,
5772748,EAFIT Research Group Fall 2020 - Maria Clara Salazar+Topic,5772745,EAFIT Research Group Spring 2020 - Maria Clara Salazar+Topic,5772742,1010,https://wikirate.org/~5772748,https://wikirate.org/~5772745,
5781912,Clean Clothes Campaign+Number of Tier 1 Suppliers (2)+Questions,5781893,Clean Clothes Campaign+Number of Tier 1 Suppliers+Questions,5781910,692,https://wikirate.org/~5781912,https://wikirate.org/~5781893,
5781914,Clean Clothes Campaign+Number of Tier 1 Suppliers (2)+Assessment,5781898,Clean Clothes Campaign+Number of Tier 1 Suppliers+Assessment,5781910,536264,https://wikirate.org/~5781914,https://wikirate.org/~5781898,
5781915,Clean Clothes Campaign+Number of Tier 1 Suppliers (2)+Report Type,5781899,Clean Clothes Campaign+Number of Tier 1 Suppliers+Report Type,5781910,840042,https://wikirate.org/~5781915,https://wikirate.org/~5781899,
5781919,Clean Clothes Campaign+Number of Tier 2 Suppliers (2)+Questions,5781902,Clean Clothes Campaign+Number of Tier 2 Suppliers+Questions,5781917,692,https://wikirate.org/~5781919,https://wikirate.org/~5781902,
5781921,Clean Clothes Campaign+Number of Tier 2 Suppliers (2)+Assessment,5781907,Clean Clothes Campaign+Number of Tier 2 Suppliers+Assessment,5781917,536264,https://wikirate.org/~5781921,https://wikirate.org/~5781907,
5781922,Clean Clothes Campaign+Number of Tier 2 Suppliers (2)+Report Type,5781908,Clean Clothes Campaign+Number of Tier 2 Suppliers+Report Type,5781917,840042,https://wikirate.org/~5781922,https://wikirate.org/~5781908,
5781923,Clean Clothes Campaign+Number of Tier 2 Suppliers (2)+About,5781904,Clean Clothes Campaign+Number of Tier 2 Suppliers+About,5781917,3755,https://wikirate.org/~5781923,https://wikirate.org/~5781904,
5781924,Clean Clothes Campaign+Number of Tier 2 Suppliers (2)+methodology,5781905,Clean Clothes Campaign+Number of Tier 2 Suppliers+methodology,5781917,43974,https://wikirate.org/~5781924,https://wikirate.org/~5781905,
5781929,Clean Clothes Campaign+Number of Tier 1 Suppliers (2)+About,5781895,Clean Clothes Campaign+Number of Tier 1 Suppliers+About,5781910,3755,https://wikirate.org/~5781929,https://wikirate.org/~5781895,
5781930,Clean Clothes Campaign+Number of Tier 1 Suppliers (2)+methodology,5781896,Clean Clothes Campaign+Number of Tier 1 Suppliers+methodology,5781910,43974,https://wikirate.org/~5781930,https://wikirate.org/~5781896,
5781931,Clean Clothes Campaign+Number of Tier 2 Suppliers (2)+Topic,5781903,Clean Clothes Campaign+Number of Tier 2 Suppliers+Topic,5781917,1010,https://wikirate.org/~5781931,https://wikirate.org/~5781903,
5781932,Clean Clothes Campaign+Number of Tier 1 Suppliers (2)+Topic,5781894,Clean Clothes Campaign+Number of Tier 1 Suppliers+Topic,5781910,1010,https://wikirate.org/~5781932,https://wikirate.org/~5781894,
5781948,Clean Clothes Campaign+Number of Tier 2 Suppliers+*metric type,5781918,Clean Clothes Campaign+Number of Tier 2 Suppliers (2)+*metric type,5781917,839739,https://wikirate.org/~5781948,https://wikirate.org/~5781918,
5781949,Clean Clothes Campaign+Number of Tier 2 Suppliers+value type,5781920,Clean Clothes Campaign+Number of Tier 2 Suppliers (2)+value type,5781917,45034,https://wikirate.org/~5781949,https://wikirate.org/~5781920,
5781950,Clean Clothes Campaign+Number of Tier 1 Suppliers+*metric type,5781911,Clean Clothes Campaign+Number of Tier 1 Suppliers (2)+*metric type,5781910,839739,https://wikirate.org/~5781950,https://wikirate.org/~5781911,
5781951,Clean Clothes Campaign+Number of Tier 1 Suppliers+value type,5781913,Clean Clothes Campaign+Number of Tier 1 Suppliers (2)+value type,5781910,45034,https://wikirate.org/~5781951,https://wikirate.org/~5781913,
5781952,Clean Clothes Campaign+Number of Tier 1 Suppliers+unit,5781928,Clean Clothes Campaign+Number of Tier 1 Suppliers (2)+unit,5781910,43685,https://wikirate.org/~5781952,https://wikirate.org/~5781928,
5781953,Clean Clothes Campaign+Number of Tier 2 Suppliers+unit,5781925,Clean Clothes Campaign+Number of Tier 2 Suppliers (2)+unit,5781917,43685,https://wikirate.org/~5781953,https://wikirate.org/~5781925,
5806819,Calvin Klein Inc.+Image,5767259,Calvin Klein+Image,5451021,19,https://wikirate.org/~5806819,https://wikirate.org/~5767259,
5809476,JustFab+Headquarters,5809474,TechStyle Fashion Group+Headquarters,5809473,2917776,https://wikirate.org/~5809476,https://wikirate.org/~5809474,
5809477,JustFab+Wikipedia,5809475,TechStyle Fashion Group+Wikipedia,5809473,3560,https://wikirate.org/~5809477,https://wikirate.org/~5809475,
6002587,Renata+Wikipedia,5760366,Renata Limited+Wikipedia,5760365,3560,https://wikirate.org/~6002587,https://wikirate.org/~5760366,
6007382,Iraq National Oil Company+Wikipedia,5760422,Missan Oil Company+Wikipedia,5760421,3560,https://wikirate.org/~6007382,https://wikirate.org/~5760422,
6014135,Vitality Group+Headquarters,6014133,Vitality Life+Headquarters,6014132,2917776,https://wikirate.org/~6014135,https://wikirate.org/~6014133,
6014136,Vitality Group+Wikipedia,6014134,Vitality Life+Wikipedia,6014132,3560,https://wikirate.org/~6014136,https://wikirate.org/~6014134,
6021048,Foxconn Technology Group+Headquarters,3786749,Foxconn Technology Group (Hon Hai Precision Industry Co)+Headquarters,28889,2917776,https://wikirate.org/~6021048,https://wikirate.org/~3786749,Name change (column B old)
6021049,Foxconn Technology Group+Wikipedia,2785055,Foxconn Technology Group (Hon Hai Precision Industry Co)+Wikipedia,28889,3560,https://wikirate.org/~6021049,https://wikirate.org/~2785055,Name change (column B old)
6021982,Minerals Sourcing & Producing+Specification,6021951,Minerals Sourcing & Production+Specification,6021950,5458826,https://wikirate.org/~6021982,https://wikirate.org/~6021951,
6021983,Minerals Sourcing & Producing+Company,6021952,Minerals Sourcing & Production+Company,6021950,651,https://wikirate.org/~6021983,https://wikirate.org/~6021952,
6023468,Nanjing Iron Steel+Headquarters,6023466,Nanjing Iron and Steel+Headquarters,6023465,2917776,https://wikirate.org/~6023468,https://wikirate.org/~6023466,
6023469,Nanjing Iron Steel+Wikipedia,6023467,Nanjing Iron and Steel+Wikipedia,6023465,3560,https://wikirate.org/~6023469,https://wikirate.org/~6023467,
6024001,Norilsk Nickel+Headquarters,5329535,MMC Norilsk Nickel+Headquarters,4817702,2917776,https://wikirate.org/~6024001,https://wikirate.org/~5329535,
6043993,Institute for Human Rights and Business+Headquarters,6043983,Institute for Human Rights and Business (IHRB)+Headquarters,6043982,2917776,https://wikirate.org/~6043993,https://wikirate.org/~6043983,
6126416,Clean Clothes Campaign+Surveyed Workers in Age Range 25-40+Questions,6019405,Clean Clothes Campaign+Surveyed Workers in Age Range 26-40+Questions,6019404,692,https://wikirate.org/~6126416,https://wikirate.org/~6019405,
6126417,Clean Clothes Campaign+Surveyed Workers in Age Range 25-40+Topic,6019407,Clean Clothes Campaign+Surveyed Workers in Age Range 26-40+Topic,6019404,1010,https://wikirate.org/~6126417,https://wikirate.org/~6019407,
6126418,Clean Clothes Campaign+Surveyed Workers in Age Range 25-40+About,6019408,Clean Clothes Campaign+Surveyed Workers in Age Range 26-40+About,6019404,3755,https://wikirate.org/~6126418,https://wikirate.org/~6019408,
6126419,Clean Clothes Campaign+Surveyed Workers in Age Range 25-40+methodology,6019409,Clean Clothes Campaign+Surveyed Workers in Age Range 26-40+methodology,6019404,43974,https://wikirate.org/~6126419,https://wikirate.org/~6019409,
6126420,Clean Clothes Campaign+Surveyed Workers in Age Range 25-40+value type,6019410,Clean Clothes Campaign+Surveyed Workers in Age Range 26-40+value type,6019404,45034,https://wikirate.org/~6126420,https://wikirate.org/~6019410,
6126421,Clean Clothes Campaign+Surveyed Workers in Age Range 25-40+unit,6019411,Clean Clothes Campaign+Surveyed Workers in Age Range 26-40+unit,6019404,43685,https://wikirate.org/~6126421,https://wikirate.org/~6019411,
6126422,Clean Clothes Campaign+Surveyed Workers in Age Range 25-40+Assessment,6019413,Clean Clothes Campaign+Surveyed Workers in Age Range 26-40+Assessment,6019404,536264,https://wikirate.org/~6126422,https://wikirate.org/~6019413,
6126423,Clean Clothes Campaign+Surveyed Workers in Age Range 25-40+Report Type,6019412,Clean Clothes Campaign+Surveyed Workers in Age Range 26-40+Report Type,6019404,840042,https://wikirate.org/~6126423,https://wikirate.org/~6019412,
6126426,Clean Clothes Campaign+Surveyed Workers Under Age of 25+Questions,6019394,Clean Clothes Campaign+Surveyed Workers Under Age of 26+Questions,6019393,692,https://wikirate.org/~6126426,https://wikirate.org/~6019394,
6126427,Clean Clothes Campaign+Surveyed Workers Under Age of 25+Topic,6019396,Clean Clothes Campaign+Surveyed Workers Under Age of 26+Topic,6019393,1010,https://wikirate.org/~6126427,https://wikirate.org/~6019396,
6126428,Clean Clothes Campaign+Surveyed Workers Under Age of 25+About,6019397,Clean Clothes Campaign+Surveyed Workers Under Age of 26+About,6019393,3755,https://wikirate.org/~6126428,https://wikirate.org/~6019397,
6126429,Clean Clothes Campaign+Surveyed Workers Under Age of 25+methodology,6019398,Clean Clothes Campaign+Surveyed Workers Under Age of 26+methodology,6019393,43974,https://wikirate.org/~6126429,https://wikirate.org/~6019398,
6126430,Clean Clothes Campaign+Surveyed Workers Under Age of 25+value type,6019399,Clean Clothes Campaign+Surveyed Workers Under Age of 26+value type,6019393,45034,https://wikirate.org/~6126430,https://wikirate.org/~6019399,
6126431,Clean Clothes Campaign+Surveyed Workers Under Age of 25+unit,6019400,Clean Clothes Campaign+Surveyed Workers Under Age of 26+unit,6019393,43685,https://wikirate.org/~6126431,https://wikirate.org/~6019400,
6126432,Clean Clothes Campaign+Surveyed Workers Under Age of 25+Assessment,6019402,Clean Clothes Campaign+Surveyed Workers Under Age of 26+Assessment,6019393,536264,https://wikirate.org/~6126432,https://wikirate.org/~6019402,
6126433,Clean Clothes Campaign+Surveyed Workers Under Age of 25+Report Type,6019401,Clean Clothes Campaign+Surveyed Workers Under Age of 26+Report Type,6019393,840042,https://wikirate.org/~6126433,https://wikirate.org/~6019401,
6126437,Clean Clothes Campaign+Average Time Spent on Domestic Work+Questions,6019809,Clean Clothes Campaign+Time Spent on Domestic Work+Questions,6019808,692,https://wikirate.org/~6126437,https://wikirate.org/~6019809,
6126438,Clean Clothes Campaign+Average Time Spent on Domestic Work+Topic,6019811,Clean Clothes Campaign+Time Spent on Domestic Work+Topic,6019808,1010,https://wikirate.org/~6126438,https://wikirate.org/~6019811,
6126439,Clean Clothes Campaign+Average Time Spent on Domestic Work+About,6019812,Clean Clothes Campaign+Time Spent on Domestic Work+About,6019808,3755,https://wikirate.org/~6126439,https://wikirate.org/~6019812,
6126440,Clean Clothes Campaign+Average Time Spent on Domestic Work+value type,6019814,Clean Clothes Campaign+Time Spent on Domestic Work+value type,6019808,45034,https://wikirate.org/~6126440,https://wikirate.org/~6019814,
6126441,Clean Clothes Campaign+Average Time Spent on Domestic Work+unit,6019815,Clean Clothes Campaign+Time Spent on Domestic Work+unit,6019808,43685,https://wikirate.org/~6126441,https://wikirate.org/~6019815,
6126442,Clean Clothes Campaign+Average Time Spent on Domestic Work+value options,6120157,Clean Clothes Campaign+Time Spent on Domestic Work+value options,6019808,45029,https://wikirate.org/~6126442,https://wikirate.org/~6120157,
6126443,Clean Clothes Campaign+Average Time Spent on Domestic Work+Assessment,6019817,Clean Clothes Campaign+Time Spent on Domestic Work+Assessment,6019808,536264,https://wikirate.org/~6126443,https://wikirate.org/~6019817,
6126444,Clean Clothes Campaign+Average Time Spent on Domestic Work+Report Type,6019816,Clean Clothes Campaign+Time Spent on Domestic Work+Report Type,6019808,840042,https://wikirate.org/~6126444,https://wikirate.org/~6019816,
6137231,London Bullion Market Association+Wikipedia,5657886,London Bullion Market Association (LBMA)+Wikipedia,3662316,3560,https://wikirate.org/~6137231,https://wikirate.org/~5657886,
6147069,Clean Clothes Campaign+Average Gross Worker Salary (Local Currency)+Questions,6019721,Clean Clothes Campaign+Average Gross Worker Salary (EUR equivalent)+Questions,6019720,692,https://wikirate.org/~6147069,https://wikirate.org/~6019721,
6147070,Clean Clothes Campaign+Average Gross Worker Salary (Local Currency)+Topic,6019723,Clean Clothes Campaign+Average Gross Worker Salary (EUR equivalent)+Topic,6019720,1010,https://wikirate.org/~6147070,https://wikirate.org/~6019723,
6147071,Clean Clothes Campaign+Average Gross Worker Salary (Local Currency)+About,6019724,Clean Clothes Campaign+Average Gross Worker Salary (EUR equivalent)+About,6019720,3755,https://wikirate.org/~6147071,https://wikirate.org/~6019724,
6147072,Clean Clothes Campaign+Average Gross Worker Salary (Local Currency)+methodology,6019725,Clean Clothes Campaign+Average Gross Worker Salary (EUR equivalent)+methodology,6019720,43974,https://wikirate.org/~6147072,https://wikirate.org/~6019725,
6147073,Clean Clothes Campaign+Average Gross Worker Salary (Local Currency)+unit,6019727,Clean Clothes Campaign+Average Gross Worker Salary (EUR equivalent)+unit,6019720,43685,https://wikirate.org/~6147073,https://wikirate.org/~6019727,
6147074,Clean Clothes Campaign+Average Gross Worker Salary (Local Currency)+Assessment,6019729,Clean Clothes Campaign+Average Gross Worker Salary (EUR equivalent)+Assessment,6019720,536264,https://wikirate.org/~6147074,https://wikirate.org/~6019729,
6147075,Clean Clothes Campaign+Average Gross Worker Salary (Local Currency)+Report Type,6019728,Clean Clothes Campaign+Average Gross Worker Salary (EUR equivalent)+Report Type,6019720,840042,https://wikirate.org/~6147075,https://wikirate.org/~6019728,
6283782,Transparency in the Apparel Industry- WikiRate Contributors+Organizer,6283780,WikiRate Contributors Research Group+Organizer,6283779,40288,https://wikirate.org/~6283782,https://wikirate.org/~6283780,
6283783,Transparency in the Apparel Industry- WikiRate Contributors+Topic,6283781,WikiRate Contributors Research Group+Topic,6283779,1010,https://wikirate.org/~6283783,https://wikirate.org/~6283781,
6286507,Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS) (G4-EN20-a)+Questions,836610,"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)+Question",836608,692,https://wikirate.org/~6286507,https://wikirate.org/~836610,Name change (column B old)
6286508,Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS) (G4-EN20-a)+topics,836609,"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)+topics",836608,1010,https://wikirate.org/~6286508,https://wikirate.org/~836609,Name change (column B old)
6286509,Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS) (G4-EN20-a)+About,836639,"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)+About",836608,3755,https://wikirate.org/~6286509,https://wikirate.org/~836639,Name change (column B old)
6286510,Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS) (G4-EN20-a)+Methodology,836640,"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)+Methodology",836608,43974,https://wikirate.org/~6286510,https://wikirate.org/~836640,Name change (column B old)
6286511,Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS) (G4-EN20-a)+value type,849191,"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)+value type",836608,45034,https://wikirate.org/~6286511,https://wikirate.org/~849191,Name change (column B old)
6286512,Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS) (G4-EN20-a)+unit,849192,"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)+unit",836608,43685,https://wikirate.org/~6286512,https://wikirate.org/~849192,Name change (column B old)
6286513,Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS) (G4-EN20-a)+value options,849193,"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)+value options",836608,45029,https://wikirate.org/~6286513,https://wikirate.org/~849193,Name change (column B old)
6286514,Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS) (G4-EN20-a)+Assessment,836611,"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)+Assessment",836608,536264,https://wikirate.org/~6286514,https://wikirate.org/~836611,Name change (column B old)
6286515,Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS) (G4-EN20-a)+report_type,845230,"Global Reporting Initiative+Emissions of Ozone-Depleting Substances (ODS), GRI 305-6-a (formerly G4-EN20-a)+report_type",836608,840042,https://wikirate.org/~6286515,https://wikirate.org/~845230,Name change (column B old)
6297361,KENPARK BANGALDESH APPAREL (PVT) LTD (K-2)+headquarters,4713269,Kenpark Bangladesh Apparel (PVT) LTD (K-2)+headquarters,4713268,2917776,https://wikirate.org/~6297361,https://wikirate.org/~4713269,
6297739,ÅÄ±k Makas Giyim San. Tic. AS.+Headquarters,3427550,Sik Makas Giyim San. Tic. AS.+Headquarters,3220729,2917776,https://wikirate.org/~6297739,https://wikirate.org/~3427550,
