wikirate_company_name,wikirate_id,wikipedia_company_page
Signet Jewelers,58946,https://en.wikipedia.org/wiki/Signet_Jewelers
Petrobras,56473,https://en.wikipedia.org/wiki/Petrobras
Andritz,51044,https://en.wikipedia.org/wiki/Andritz_AG
Solvay,48678,https://en.wikipedia.org/wiki/Solvay_(company)
Grupo Argos,61132,https://en.wikipedia.org/wiki/Grupo_Argos
Suncor Energy,56409,https://en.wikipedia.org/wiki/Suncor_Energy
Embraer,50292,https://en.wikipedia.org/wiki/Embraer
Brookfield Asset Management,47720,https://en.wikipedia.org/wiki/Brookfield_Asset_Management
Braskem,49522,https://en.wikipedia.org/wiki/Braskem
Ecopetrol,47547,https://en.wikipedia.org/wiki/Ecopetrol
BRF-Brasil Foods,57493,https://en.wikipedia.org/wiki/BRF_S.A.
Anheuser-Busch InBev,47391,https://en.wikipedia.org/wiki/Anheuser-Busch_InBev
Danfoss,48259,https://en.wikipedia.org/wiki/Danfoss
The Lego Group,9844,https://en.wikipedia.org/wiki/Lego_Group
Jyske Bank,58487,https://en.wikipedia.org/wiki/Jyske_Bank
Carlsberg Group,57215,https://en.wikipedia.org/wiki/Carlsberg_Group
Coloplast,49899,https://en.wikipedia.org/wiki/Coloplast
ISS,58532,https://en.wikipedia.org/wiki/International_Service_System
Commercial International Bank,50701,https://en.wikipedia.org/wiki/Commercial_International_Bank
Challenger,965779,https://en.wikipedia.org/wiki/Challenger_LTD
Novartis,56351,https://en.wikipedia.org/wiki/Novartis
Stockmann Oyj Abp,170611,https://en.wikipedia.org/wiki/Stockmann
Metso,50366,https://en.wikipedia.org/wiki/Metso
DNA,917463,https://en.wikipedia.org/wiki/DNA_Oy
WΠ“Β¤rtsilΠ“Β¤,58119,https://en.wikipedia.org/wiki/W%C3%A4rtsil%C3%A4
Aktia Oyj,965703,https://en.wikipedia.org/wiki/Aktia_Bank
Nokia,37210,https://en.wikipedia.org/wiki/Nokia
Fingrid Oyj,968746,https://en.wikipedia.org/wiki/Fingrid
Kesko Corporation,51051,https://en.wikipedia.org/wiki/Kesko
Outokumpu,50782,https://en.wikipedia.org/wiki/Outokumpu
Vaisala Oyj,971895,https://en.wikipedia.org/wiki/Vaisala
Fortum,48329,https://en.wikipedia.org/wiki/Fortum
MAN SE,170675,https://en.wikipedia.org/wiki/MAN_SE
Beiersdorf AG,60937,https://en.wikipedia.org/wiki/Beiersdorf
RTL Group,57561,https://en.wikipedia.org/wiki/RTL_Group
SolarWorld,968845,https://en.wikipedia.org/wiki/SolarWorld
Infineon Technologies,49825,https://en.wikipedia.org/wiki/Infineon_Technologies
Fraport,50980,https://en.wikipedia.org/wiki/Fraport
Fresenius,47842,https://en.wikipedia.org/wiki/Fresenius_AG
Brenntag,49361,https://en.wikipedia.org/wiki/Brenntag
Fresenius Medical Care,47495,https://en.wikipedia.org/wiki/Fresenius_Medical_Care
Metro AG,57332,https://en.wikipedia.org/wiki/METRO_AG
